R	53.334	-6.37868	A217	14 Feb 2024	A217\n13:25 - Cork to Dublin Heuston (2 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	A713	14 Feb 2024	A713\n13:05 - Galway to Dublin Heuston (3 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P219	14 Feb 2024	P219\n14:28 - Portlaoise to Dublin Heuston (8 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P412	14 Feb 2024	P412\n15:08 - Newbridge to Dublin Pearse (14 mins late)\nDeparted Park West and Cherry Orchard next stop Drumcondra	To Dublin Pearse
R	53.3345	-6.43038	P220	14 Feb 2024	P220\n15:27 - Newbridge to Dublin Heuston (0 mins late)\nDeparted Kishogue next stop Clondalkin	To Dublin Heuston
R	53.3433	-6.24829	A609	14 Feb 2024	A609\n12:55 - Rosslare Europort to Dublin Connolly (0 mins late)\nDeparted Dublin Pearse next stop Tara Street	Northbound
R	53.3433	-6.24829	E239	14 Feb 2024	E239\n15:20 - Howth to Bray (0 mins late)\nArrived Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.347	-6.25425	E828	14 Feb 2024	E828\n15:05 - Bray to Malahide (0 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.3531	-6.24591	P615	14 Feb 2024	P615\n14:50 - Drogheda to Bray (3 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3629	-6.22753	E120	14 Feb 2024	E120\n15:31 - Malahide to Greystones (-1 mins late)\nArrived Clontarf Road next stop Dublin Connolly	Southbound
R	53.3755	-6.33135	D921	14 Feb 2024	D921\n15:37 - Dublin Connolly to Maynooth (0 mins late)\nArrived Ashtown next stop Navan Road Parkway	Northbound
R	53.378	-6.58993	A908	14 Feb 2024	A908\n15:00 - Dublin Connolly to Sligo (8 mins late)\nDeparted Maynooth next stop Kilcock	Northbound
R	53.378	-6.58993	A909	14 Feb 2024	A909\n13:05 - Sligo to Dublin Connolly (9 mins late)\nDeparted Maynooth next stop Drumcondra	Southbound
R	53.3786	-6.19131	E929	14 Feb 2024	E929\n14:55 - Bray to Howth (0 mins late)\nArrived Harmonstown next stop Raheny	Northbound
R	53.3816	-6.37149	P319	14 Feb 2024	P319\n15:35 - M3 Parkway to Docklands (2 mins late)\nDeparted Castleknock next stop Broombridge	Southbound
R	53.3831	-6.4242	D920	14 Feb 2024	D920\n15:12 - Dublin Pearse to Maynooth (3 mins late)\nDeparted Clonsilla next stop Leixlip (Confey)	Northbound
R	53.387	-6.16163	E240	14 Feb 2024	E240\n15:40 - Howth to Bray (0 mins late)\nDeparted Kilbarrack next stop Raheny	Southbound
R	53.4169	-6.1512	E827	14 Feb 2024	E827\n14:34 - Greystones to Malahide (-1 mins late)\nArrived Portmarnock next stop Malahide	Northbound
R	53.4509	-6.15649	P616	14 Feb 2024	P616\n15:10 - Drogheda to Dublin Pearse (3 mins late)\nDeparted Malahide next stop Dublin Connolly	Southbound
R	53.4855	-6.15134	D814	14 Feb 2024	D814\n15:27 - Dublin Connolly to Drogheda (2 mins late)\nDeparted Donabate next stop Rush and Lusk	Northbound
R	53.638	-6.21705	A129	14 Feb 2024	A129\n14:05 - Belfast to Dublin Connolly (1 mins late)\nArrived Gormanston next stop Dublin Connolly	Southbound
R	53.6794	-6.24253	A130	14 Feb 2024	A130\n15:20 - Dublin Connolly to Belfast (2 mins late)\nDeparted Laytown next stop Drogheda	Northbound
R	53.712	-6.33538	P712	14 Feb 2024	P712\n15:50 - Drogheda to Dublin Connolly (0 mins late)\nDeparted Drogheda next stop Laytown	Southbound
R	53.9676	-8.30438	A906	14 Feb 2024	A906\n13:00 - Dublin Connolly to Sligo (1 mins late)\nDeparted Boyle next stop Ballymote	Northbound
R	53.9676	-8.30438	A911	14 Feb 2024	A911\n15:05 - Sligo to Dublin Connolly (3 mins late)\nDeparted Boyle next stop Carrick on Shannon	Southbound
R	54.0007	-6.41291	A128	14 Feb 2024	A128\n13:20 - Dublin Connolly to Belfast (11 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	53.3891	-6.07401	E928	14 Feb 2024	E928\n14:35 - Bray to Howth(0 mins late)\nTERMINATED Howth at 15:48	Northbound
T	53.4509	-6.15649	E826	14 Feb 2024	E826\n14:25 - Bray to Malahide(1 mins late)\nTERMINATED Malahide at 15:42	Northbound
T	53.712	-6.33538	D813	14 Feb 2024	D813\n14:50 - Dublin Connolly to Drogheda(-1 mins late)\nTERMINATED Drogheda at 15:43	Northbound
